Material	Category	Young Modulus low	Young Modulus high	Density low	Density high	Yield Strength low	Yield Strength high	Tensile Strength low	Tensile Strength high	Fracture Toughness low	Fracture Toughness high	Thermal Conductivity low	Thermal Conductivity high	Thermal Expansion low	Thermal Expansion high	Resistivity low	Resistivity high
Flexible Foam VLD	Foams	0.0003	0.001	16	35	0.01	0.12	0.24	0.85	0.005	0.02	0.036	0.048	120	220	1.00E+20	1.00E+23
Flexible Foam LD	Foams	0.001	0.003	38	70	0.02	0.3	0.24	2.35	0.015	0.05	0.04	0.06	115	220	1.00E+20	1.00E+23
Flexible Foam MD	Foams	0.004	0.012	75	115	0.05	0.7	0.43	2.95	0.03	0.09	0.04	0.08	115	220	1.00E+20	1.00E+23
Rigid Foam LD	Foams	0.023	0.08	36	70	0.3	1.7	0.45	2.25	0.002	0.02	0.023	0.04	20	80	1.00E+17	1.00E+21
Rigid Foam MD	Foams	0.08	0.2	78	165	0.4	3.5	0.65	5.1	0.007	0.049	0.027	0.04	20	75	3.00E+16	3.00E+20
Rigid Foam HD	Foams	0.2	0.48	170	470	0.8	12	1.2	12.4	0.024	0.091	0.034	0.06	22	70	1.00E+16	1.00E+20
Isoprene	Elastomers	0.0014	0.004	930	940	20	25	20	25	0.07	0.1	0.08	0.14	150	450	1.00E+15	1.00E+16
Butyl rubber	Elastomers	0.001	0.002	900	920	2	3	5	10	0.07	0.1	0.08	0.1	120	300	1.00E+15	1.00E+16
EVA	Elastomers	0.01	0.04	945	955	12	18	16	20	0.5	0.7	0.3	0.4	160	190	3.20E+21	1.00E+22
Neoprene	Elastomers	0.0007	0.002	1230	1250	3.4	24	3.4	24	0.1	0.3	0.08	0.14	575	610	1.00E+19	1.00E+23
Polyurethane	Elastomers	0.002	0.03	1020	1250	25	51	25	51	0.2	0.4	0.28	0.3	150	165	1.00E+18	1.00E+22
Silicone elastomers	Elastomers	0.005	0.02	1300	1800	2.4	5.5	2.4	5.5	0.03	0.5	0.3	1	250	300	3.00E+19	1.00E+22
Leather	Natural materials	0.1	0.5	810	1050	5	10	20	26	3	5	0.15	0.17	2	11	1.00E+08	1.00E+10
Wood (parallel)	Natural materials	6	20	600	800	30	70	60	100	5	9	0.31	0.38	2	11	6.00E+13	2.00E+14
